category_label,livestock,value
Europe,Human,74.144700
Europe,Pig,323.484640
Europe,Cattle,41.027798
Europe,Chicken,1116.373300
Europe,Goats & Sheep,77.577699
Europe,Other,184.622972
West & Central Asia,Human,33.272580
West & Central Asia,Pig,3.729254
West & Central Asia,Cattle,18.054820
West & Central Asia,Chicken,318.208200
West & Central Asia,Goats & Sheep,102.684295
West & Central Asia,Other,2.904640
East & Southern Asia,Human,412.995600
East & Southern Asia,Pig,882.046294
East & Southern Asia,Cattle,104.174512
East & Southern Asia,Chicken,2468.394400
East & Southern Asia,Goats & Sheep,506.663572
East & Southern Asia,Other,701.698032
Australia,Other,1.02363
Australia,Goats & Sheep,57.107673
Australia,Chicken,75.736500
Australia,Cattle,13.661200
Australia,Pig,8.099251
Australia,Human,8.0234802
Africa,Other,87.630284
Africa,Goats & Sheep,235.775497
Africa,Chicken,438.725300
Africa,Cattle,41.050364
Africa,Pig,29.884126
Africa,Human,122.5080000
South America,Human,46.4059800
South America,Pig,71.687535
South America,Cattle,65.319460
South America,Chicken,980.158600
South America,Goats & Sheep,22.939189
South America,Other,80.964454
North America,Human,53.3583000
North America,Pig,159.235974
North America,Cattle,44.921414
North America,Chicken,1187.144800
North America,Goats & Sheep,8.533727
North America,Other,5.270949
